序号,标题,层级,忠实度分,原稿字数,生成字数,压缩比,关键词保留,内容词保留,数字保留,ASCII保留,虚构风险,结论,诊断
164,金融让利于实体：行业萎缩与转型的必然趋势,medium,95.0,648,966,1.491,100%,83%,100%,100%,0%,良好,
165,理科教育沦为应试工具，应用学科落后世界七十年,medium,98.8,735,1141,1.552,100%,96%,100%,100%,0%,良好,
166,付鹏：拒绝碎片化信息，通过系统性阅读构建金融世界观,medium,96.3,1101,1084,0.985,100%,88%,100%,100%,0%,良好,
167,实体金店的商业逻辑：存货、周转与高杠杆对赌,long,79.7,5484,2601,0.474,91%,68%,50%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
168,鸡娃内卷的本质：商业暗示与代际焦虑推高养育成本,medium,90.9,891,1115,1.251,100%,70%,100%,100%,0%,良好,
169,留住那些疯狂的机械记忆，那是我们终将逝去的青春,short,27.8,89,1183,13.292,83%,83%,100%,100%,100%,高危：建议重写,【虚构风险】短稿被大幅扩写，新增大量原稿外内容；生成文章明显膨胀（13.3x），检查是否注水
170,储值卡本质是高息揽储加杠杆的金融游戏,medium,73.2,1004,1436,1.43,88%,75%,0%,100%,0%,中等：建议人工复核,数字/年份保留率低（丢：204%）
171,收税权逻辑：从牛夫人到小甜甜的公用事业资产重估,medium,95.0,1045,1144,1.095,100%,83%,100%,100%,0%,良好,
172,上游涨价下游通缩：内卷价格战蚕食生产利润,medium,92.1,963,1009,1.048,89%,87%,100%,100%,0%,良好,
173,探访苏州东山：揭秘正宗洞庭碧螺春的产地与工艺真相,medium,84.0,2107,1393,0.661,87%,62%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
174,消费者不存在认知误区：消费收缩根因在于收入与分配,medium,90.9,1188,1132,0.953,100%,70%,100%,100%,0%,良好,
175,汇率波动下，本币计价资产才是老百姓财富的关键,medium,89.8,1151,1119,0.972,88%,80%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
176,港人北上消费背后的汇率差与香港商业衰退,medium,82.8,1208,884,0.732,79%,67%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
177,经济增速放缓下的婚恋观：从远期投资转向当期兑现,medium,93.1,633,989,1.562,90%,89%,100%,100%,0%,良好,
178,付鹏推荐DK《货币金融百科》与《经济学百科》,medium,93.8,769,1118,1.454,100%,79%,100%,100%,0%,良好,
179,付鹏：建议提前退休以激活消费循环，反对单纯延后退休,medium,96.5,563,1018,1.808,100%,88%,100%,100%,0%,良好,
180,储蓄增长与储蓄率下降背后的代际分配真相,medium,94.7,597,1044,1.749,100%,82%,100%,100%,0%,良好,
181,中年危机本质是财务规划：从年轻博弈到中年守成的策略转换,medium,94.1,1351,1171,0.867,100%,80%,100%,100%,0%,良好,
182,中年危机本质：职场安乐窝的幻象与应对策略,medium,89.3,1644,1116,0.679,90%,77%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
183,风险偏好决定消费逻辑：从供给主导转向需求主导,medium,94.1,1301,1093,0.84,96%,86%,100%,100%,0%,良好,
184,新车五至十万价格战引发二手崩盘与消费观望,medium,91.5,878,1023,1.165,90%,83%,100%,100%,0%,良好,
185,核心房产政策挤牙膏式松绑，高杠杆风险偏好时代已终结,medium,89.0,712,931,1.308,83%,83%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
186,从“不留债务给后人”到“不留后人留债务”的代际价值观剧变,medium,93.2,495,1125,2.273,93%,85%,100%,100%,0%,良好,
187,付鹏：老龄化下的医疗养老准备与综合金融体验,medium,70.4,2343,1081,0.461,89%,64%,0%,100%,0%,中等：建议人工复核,"数字/年份保留率低（丢：205%, 三二亿, 八九亿）"
188,人生最难的不是选择而是舍不得，放下执念方能重生,medium,98.3,460,963,2.093,100%,94%,100%,100%,0%,良好,
189,灵活就业者断缴社保潮背后的经济账与无奈,medium,86.7,2074,1300,0.627,94%,63%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
190,恒大造假与做空机构：天使恶魔一体，市场需容忍屠龙者,long,64.8,5122,1966,0.384,66%,45%,100%,13%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
191,延迟退休的阶层博弈：岗位重叠与收支困境,medium,95.7,810,1086,1.341,100%,86%,100%,100%,0%,良好,
192,网约车异味背后的生存逻辑：内卷下的“现代骆驼祥子”,long,93.1,3672,2009,0.547,95%,76%,100%,100%,0%,良好,
193,燕郊高位接盘者现状：负资产下的咬牙坚持与断供抉择,medium,95.7,1012,1074,1.061,100%,86%,100%,100%,0%,良好,
194,燕郊负资产群体的双面人生：白天白领夜间司机,medium,98.7,959,1195,1.246,100%,96%,100%,100%,0%,良好,
195,315食品安全乱象的根源：恶性价格战与劣币驱逐良币,medium,84.0,1429,1109,0.776,96%,76%,50%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
196,房地产泡沫周期：风险偏好扩张与收缩的底层逻辑,long,62.2,5586,2145,0.384,68%,46%,36%,100%,0%,压缩较重，核心观点需人工复核,"数字/年份保留率低（丢：1994年, 1995年, 2030%, 9293年）"
197,投资本质是反人性的：克制贪婪与追求理性逻辑,medium,92.7,750,1102,1.469,92%,85%,100%,100%,0%,良好,
198,户籍制度难取消的根源：公共资源分配失衡与地方利益壁垒,medium,96.6,523,1053,2.013,100%,89%,100%,100%,0%,良好,
199,年轻人应避开传统赛道内卷，拥抱AI等新技术浪潮,medium,95.3,468,1022,2.184,100%,84%,100%,100%,0%,良好,
200,经济增量不足与结构性错配：大学生就业困境的深层逻辑,medium,97.1,616,1114,1.808,100%,90%,100%,100%,0%,良好,
201,年轻人热衷考公考编是理性选择而非逃避奋斗,short,92.9,285,920,3.228,100%,82%,100%,100%,0%,良好,
202,县城婆罗门：关系网固化与内卷化的阶层真相,medium,93.4,522,917,1.757,100%,78%,100%,100%,0%,良好,
203,北京高成本下的消费外流与东北性价比,short,90.3,254,953,3.752,100%,81%,100%,100%,0%,良好,生成文章明显膨胀（3.8x），检查是否注水
204,付鹏：实体内卷与风险偏好收缩下的资产逻辑,long,84.8,4626,2175,0.47,91%,70%,75%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
205,付鹏：为何今年GDP目标定为5%及背后的经济逻辑,medium,94.5,579,1039,1.794,100%,98%,67%,100%,0%,良好,
206,付鹏：风险偏好视角下的中国股市三层资产逻辑,long,88.9,4577,1996,0.436,91%,65%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
207,付鹏：总量制约下风险偏好下降与资产逻辑重构,long,74.3,4837,3463,0.716,87%,76%,75%,0%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
208,珠海交通格局重塑：机场快线与深中通道的经济意义,medium,93.9,461,1021,2.215,100%,80%,100%,100%,0%,良好,
209,春节消费观察：院线微弱复苏与商家全员在岗,medium,85.9,792,969,1.223,83%,73%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
210,春节气候反常与错峰出行的理性选择,medium,95.6,395,1014,2.567,100%,86%,100%,100%,0%,良好,
211,开年汽车价格战：比亚迪打响第一枪与高合倒闭的行业启示,medium,96.2,2454,1751,0.714,100%,92%,90%,100%,0%,良好,
212,新能源车价格战本质：传统制造业的产能过剩与出清,medium,88.3,2537,1425,0.562,97%,84%,60%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
213,春节微观观察：不得瑟背后的真实经济反应,long,92.7,3536,1836,0.519,95%,76%,100%,100%,0%,良好,
214,日本改革深层逻辑：公司治理重塑与内生循环的共振,long,85.6,5346,2629,0.492,92%,74%,71%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
215,日本股市上涨的三重共振逻辑与微观改革,medium,92.4,2725,1541,0.566,100%,75%,100%,100%,0%,良好,
216,日本股市新高背后的三层维度共振逻辑,long,95.8,3352,2160,0.644,96%,87%,100%,100%,0%,良好,
217,付鹏：企业债务风险根源在投资端而非融资端,long,89.4,3067,1340,0.437,92%,66%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
218,私营企业融资难的本质：信用缺失与高速发展的代价,medium,95.2,2014,1344,0.667,100%,84%,100%,100%,0%,良好,
219,付鹏：股权融资错配引发的变相债务危机,medium,92.3,1628,1199,0.736,96%,79%,100%,100%,0%,良好,
220,付鹏：中国经济转型的阳谋与人性现实,medium,87.7,2509,1355,0.54,97%,88%,50%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
221,付鹏：高估值下的企业家困境与内外宏观变局,medium,82.3,1924,1020,0.53,90%,62%,83%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
222,付鹏：IPO激增与资金错配下的股市困局,long,86.8,3478,2204,0.634,84%,69%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
223,拜仁凯恩与苏翊鸣的龙年新春祝福,medium,96.3,547,1424,2.603,100%,92%,100%,89%,0%,良好,
224,付鹏：春节人流不代表经济好坏，民间调研需看消费细节,medium,94.7,1890,1334,0.706,95%,88%,100%,100%,0%,良好,
225,民营企业家传承困境：二代不愿接班与治理缺失下的套现逻辑,medium,84.1,2978,1282,0.43,86%,63%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
226,新年老友聚会，推荐这款纯发酵的觅山青梅酒,short,34.8,196,1011,5.158,100%,89%,100%,100%,100%,高危：建议重写,【虚构风险】短稿被大幅扩写，新增大量原稿外内容；生成文章明显膨胀（5.2x），检查是否注水
227,付鹏推荐低糖青梅酒：糖尿病人的微醺选择,medium,99.9,371,953,2.569,100%,100%,100%,100%,0%,良好,
228,付鹏：除夕夜相约，共话远方来客与新春祝福,short,32.0,37,931,25.162,100%,100%,100%,100%,100%,高危：建议重写,【虚构风险】短稿被大幅扩写，新增大量原稿外内容；生成文章明显膨胀（25.2x），检查是否注水
229,人民币升值逻辑下核心资产的杠杆效应与对冲,medium,94.8,960,981,1.022,100%,95%,75%,100%,0%,良好,
230,核心区域取消限购：富人如何利用负债端收益进行套息交易,long,87.2,3743,2205,0.589,94%,80%,70%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
231,瑞达里奥三部曲阅读顺序：从原则到债务危机,medium,96.9,1057,1049,0.992,100%,90%,100%,100%,0%,良好,
232,瑞达里奥《原则2》：大国兴衰周期与债务危机转折,medium,96.9,404,877,2.171,100%,90%,100%,100%,0%,良好,
233,瑞达里奥三部曲阅读顺序：先读《原则》上半部,medium,99.2,592,973,1.644,100%,97%,100%,100%,0%,良好,
234,付鹏：碎片化信息让人迷失，纸质阅读重塑独立思考,short,96.7,273,859,3.147,100%,92%,100%,100%,0%,良好,
235,日本劳动力缺口与结构变迁：从内卷到外劳引入,long,72.8,3670,1923,0.524,97%,73%,48%,0%,0%,压缩较重，核心观点需人工复核,"数字/年份保留率低（丢：1994年, 一百八十二万, 五百六十万, 五百六十万亿）"
236,日本失去的一代：劳动力重叠与结构性失业,medium,72.5,2294,1167,0.509,88%,69%,75%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
237,日本年轻人失业率背后的劳动力结构变迁,medium,80.0,2587,1656,0.64,95%,76%,60%,50%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
238,SEC批准比特币ETF：去中心化梦想的终结与黑白分明的监管,long,66.7,5979,2106,0.352,92%,57%,0%,88%,0%,压缩较重，核心观点需人工复核,"数字/年份保留率低（丢：2%, 80%）"
239,从失衡到逆潮：见证全球四十年变局与未来启示,medium,96.2,1035,826,0.798,100%,87%,100%,100%,0%,良好,
240,低欲望社会下的供需重构：从日本经验看中国消费转型,long,94.8,3608,2171,0.602,96%,83%,100%,100%,0%,良好,
241,供给与需求的博弈：从短缺到过剩的消费逻辑演变,long,93.0,3359,1761,0.524,94%,79%,100%,100%,0%,良好,
242,付鹏新书《见证逆潮》：构建基于交易员视角的经济世界观,medium,99.9,1372,1374,1.001,100%,100%,100%,100%,0%,良好,
243,从性价比到低欲望：消费转型的中间环节与警示,long,87.9,4266,2999,0.703,98%,93%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
244,内债不是债的完整逻辑：只要人还在,medium,86.2,2302,1872,0.813,95%,94%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
245,内债本质是对居民部门收税：企业、金融与政府的债务逻辑,long,86.6,3541,2671,0.754,100%,83%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
246,论债务：贸易与资本构成的对外“收税权”,medium,75.1,2457,1449,0.59,87%,65%,100%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
247,人口年龄结构变迁与社会整体风险偏好的下降,long,92.5,4222,3780,0.895,100%,97%,76%,80%,0%,良好,
248,人口老龄化与债务驱动投资的失效逻辑,medium,78.6,2412,1796,0.745,100%,87%,50%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
249,开发商流动性危机的本质：居民部门承受力的长期转折,medium,75.1,2562,1425,0.556,90%,63%,100%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
250,付鹏：中国资产定价逻辑与人口债务周期下的结构性机会,long,49.6,17183,2994,0.174,60%,34%,33%,40%,0%,差：建议重写,"数字/年份保留率低（丢：1990年, 1992年, 1997年, 1998年）"
251,城镇化率背后的双重逻辑：年轻增长与老龄化收缩,long,93.7,4171,2259,0.542,96%,78%,100%,100%,0%,良好,
252,2024展望：中国经济的分子与美国利率的分母,medium,90.4,2935,1678,0.572,98%,80%,80%,100%,0%,良好,
253,野比大雄的1993：日本并未失去，只是选择了出海,long,76.9,5121,2383,0.465,85%,60%,59%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
254,男性消费超狗的背后：宠物市场放缓与中产女性收入预期调整,medium,79.9,2551,1244,0.488,84%,63%,78%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
255,微剧行业：AI降本增效与爽文心理的流量变现,long,80.5,4343,2184,0.503,93%,72%,60%,71%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
256,神仙居的流量密码：金融活水如何激活乡村文旅,long,91.5,3483,1974,0.567,93%,73%,100%,100%,0%,良好,
257,特殊商品出厂价上调背后的金融逻辑与债务周期风险,long,83.2,4346,1948,0.448,79%,63%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
258,《完蛋！我被美女包围了》火爆背后的现实逃避产业逻辑,medium,77.8,2400,1350,0.562,100%,72%,25%,75%,0%,中等：建议人工复核,"数字/年份保留率低（丢：1990年, 1992年, 1995年）"
259,金融世界的“笋盘”逻辑：流动性危机下的资产定价,medium,91.4,1694,1347,0.795,92%,81%,100%,100%,0%,良好,
260,中国财富黄金一代的形成逻辑与代际资产偏好变迁,medium,100.0,2029,2027,0.999,100%,100%,100%,100%,0%,良好,
261,财富固化与年龄错配：为何有钱人不投，想投的人没钱,medium,81.6,2718,1440,0.53,84%,65%,83%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
262,金融视角下的“便宜”：无风险套利才是唯一标准,medium,69.4,2972,1233,0.415,89%,61%,0%,100%,0%,偏弱：建议人工复核或重写,数字/年份保留率低（丢：十二万）
263,大学前后的冰火两重天：就业错配与教育焦虑,long,80.4,6206,2191,0.353,74%,60%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
264,人口负增长根因：95后不婚不育的主观选择与劳动力收缩,long,89.8,5882,3240,0.551,100%,86%,64%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
265,95后不婚不育真相：自我满足优先与千万育儿成本的现实考量,long,62.6,7222,2264,0.313,72%,43%,33%,100%,0%,压缩较重，核心观点需人工复核,"数字/年份保留率低（丢：903%, 一百万）"
266,90后不婚不育真相：恋爱像耍朋友，结婚即责任,long,69.9,5691,2040,0.358,72%,46%,67%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
267,日本经济转型的隐患：服务业局限与房地产泡沫的两次破裂,long,74.6,8971,2166,0.241,84%,48%,61%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
268,日本1960-1980年代经济转型路径与对中国的启示,long,84.5,6875,2879,0.419,90%,73%,71%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
269,股票无法替代房地产成为居民财富效应载体,medium,83.1,1476,1049,0.711,100%,94%,0%,100%,0%,基本合格,数字/年份保留率低（丢：1990年）
270,扩大内需需修养生息，切莫再次拔苗助长,medium,96.5,829,996,1.201,100%,88%,100%,100%,0%,良好,
271,房地产预期转弱后，消费回归收入基本面,medium,94.9,1251,1001,0.8,95%,89%,100%,100%,0%,良好,
272,中国消费预期下滑的根源：房产蓄水池失效与收入预期疲软,medium,93.8,1027,1139,1.109,100%,80%,100%,100%,0%,良好,
273,扩大内需需休养生息，切莫再次拔苗助长,medium,93.7,1394,856,0.614,100%,79%,100%,100%,0%,良好,
274,扩大内需需休养生息，切莫再次拔苗助长,medium,96.7,1165,1040,0.893,100%,89%,100%,100%,0%,良好,
275,疫情后消费分化：富人无碍，中产回血，底层转向储蓄,medium,96.6,816,940,1.152,100%,89%,100%,100%,0%,良好,
276,后疫情时代消费分化：富人释放需求，大众修复预期,medium,97.0,1422,990,0.696,100%,90%,100%,100%,0%,良好,
277,后疫情时代中国居民消费行为的短期释放与长期惯性,medium,91.9,673,1026,1.525,100%,73%,100%,100%,0%,良好,
278,高波动率时代终结：游戏驿站与虚拟货币的终局逻辑,medium,96.1,1404,1103,0.786,100%,87%,100%,100%,0%,良好,
279,游戏驿站背后的代际冲突与资本收割,medium,84.3,1269,1126,0.887,100%,98%,0%,100%,0%,基本合格,数字/年份保留率低（丢：2008年）
280,游戏驿站与虚拟货币：金融市场没有新鲜事,medium,91.0,1311,1011,0.771,93%,78%,100%,100%,0%,良好,
281,马斯克收购推特的终极目的：构建虚拟世界的罗马帝国,medium,99.8,1493,1467,0.983,100%,99%,100%,100%,0%,良好,
282,虚拟与现实的社会构成及Twitter的全球化意识,medium,94.2,1206,1048,0.869,100%,81%,100%,100%,0%,良好,
283,马斯克收购推特的终极目的：构建全球意识平台,medium,84.0,1300,1029,0.792,94%,76%,100%,33%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
284,全球流动性紧缩下的加密货币挤兑风险与逻辑推演,medium,98.9,1450,1330,0.917,100%,96%,100%,100%,0%,良好,
285,稳定币机制与97年亚洲金融危机的逻辑同构,medium,95.1,1277,1068,0.836,95%,90%,100%,100%,0%,良好,
286,加密货币需经历崩盘降波，方能成为虚拟世界储备资产,medium,88.6,1550,1061,0.685,88%,76%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
287,从19世纪美国银行券到现代货币体系的演变逻辑,medium,85.5,1077,988,0.917,100%,85%,33%,100%,0%,基本合格,"数字/年份保留率低（丢：八千亿, 四百亿）"
288,与00后聊加密货币：重述19世纪美国货币史,medium,89.6,1305,1039,0.796,100%,65%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
289,加密货币本质仍是受流动性冲击的金融资产,medium,78.2,1111,850,0.765,100%,77%,0%,100%,0%,中等：建议人工复核,数字/年份保留率低（丢：2000年）
290,流媒体变迁：从录像带到在线点播的技术演进,medium,72.9,1655,1016,0.614,73%,61%,60%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
291,流媒体十年兴衰：从大屏付费到小屏白嫖,medium,95.5,1877,1262,0.672,100%,85%,100%,100%,0%,良好,
292,流媒体红利消退：内容困境与载体变迁,medium,90.5,1760,1258,0.715,100%,68%,100%,100%,0%,良好,
293,统一大市场：破除地方保护与制度壁垒,medium,95.6,1413,1225,0.867,94%,92%,100%,100%,0%,良好,
294,统一大市场下的区域分工困境与隐性壁垒,medium,91.6,1235,1167,0.945,92%,81%,100%,100%,0%,良好,
295,统一大市场的核心难点：打破地方保护与利益调和,medium,93.8,1356,1004,0.74,92%,88%,100%,100%,0%,良好,
296,统一大市场的理想与现实：以欧洲一体化为例,medium,97.0,1138,974,0.856,100%,90%,100%,100%,0%,良好,
297,欧洲统一大市场：消除内部摩擦与提升竞争力的路径,medium,76.5,1078,1058,0.981,89%,85%,0%,100%,0%,中等：建议人工复核,数字/年份保留率低（丢：9293年）
298,统一大市场的代价：欧洲财政分裂与主权困境,medium,97.7,780,914,1.172,100%,92%,100%,100%,0%,良好,
299,用叠叠乐演示系统稳定性与风险的本质区别,medium,79.5,1535,1071,0.698,94%,71%,100%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
300,用叠叠乐演示金融系统的稳定性与风险博弈,medium,96.1,1301,1112,0.855,100%,87%,100%,100%,0%,良好,
301,用“叠叠乐”解析市场稳定性与系统性风险,medium,98.8,1210,1091,0.902,100%,96%,100%,100%,0%,良好,
302,房地产泡沫破裂后，高杠杆炒房客与普通自住者的不同结局,medium,92.6,1427,1033,0.724,100%,86%,80%,100%,0%,良好,
303,避免法拍：普通人的债务应对与房贷选择,medium,81.4,1918,965,0.503,90%,67%,67%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
304,经济下行期居民需控制杠杆并管理现金流,medium,91.4,1231,1202,0.976,90%,83%,100%,100%,0%,良好,
305,法拍房激增并非断供潮：解析法拍来源与银行坏账逻辑,medium,88.3,1138,994,0.873,88%,76%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
306,法拍房激增的真相：三十万对三亿，比例其实很小,medium,84.9,896,884,0.987,86%,91%,50%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
307,法拍房数据激增的两大成因：互联网透明化与经济放缓,medium,98.3,1277,970,0.76,100%,94%,100%,100%,0%,良好,
308,电动车不等于新能源车：能源来源决定清洁属性,medium,87.6,713,1035,1.452,100%,92%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
309,中国新能源车发展逻辑：先有需求端，再倒逼产业链配套,medium,99.7,939,924,0.984,100%,99%,100%,100%,0%,良好,
310,新能源车下乡需警惕：基建未动，莫让农民为高折损买单,medium,91.1,935,997,1.066,92%,80%,100%,100%,0%,良好,
311,网上吹哨揭露骗局，为何反而招致辱骂,medium,80.6,1889,1311,0.694,94%,76%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
312,俄乌冲突重塑欧美能源格局与欧洲政治现实,medium,95.2,961,985,1.025,100%,84%,100%,100%,0%,良好,
313,俄乌冲突后欧洲新能源战略的退守与依附,medium,99.7,1095,1172,1.07,100%,99%,100%,100%,0%,良好,
314,能源安全需结构多元化，警惕海外资源收购风险,medium,85.5,754,931,1.235,100%,85%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
315,能源安全结构：脚踏多条船与中俄博弈的底层逻辑,medium,95.4,751,1079,1.437,100%,85%,100%,100%,0%,良好,
316,俄乌冲突激化全球能源安全结构问题,medium,96.9,1112,980,0.881,100%,90%,100%,100%,0%,良好,
317,美国能源独立重塑全球战略与欧洲困境,medium,95.4,834,923,1.107,100%,85%,100%,100%,0%,良好,
318,默克尔的平衡术与欧洲能源安全结构的深层逻辑,medium,96.3,903,945,1.047,100%,88%,100%,100%,0%,良好,
319,俄乌冲突加速欧俄能源脱钩与中东角色回归,medium,99.4,930,893,0.96,100%,98%,100%,100%,0%,良好,
320,中东以政治条件换取能源稳定，市场失灵下的地缘博弈,medium,83.6,674,918,1.362,92%,88%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
321,俄乌冲突本质是经济频道：能源武器与全球滞胀风险,medium,91.7,1144,881,0.77,100%,72%,100%,100%,0%,良好,
322,俄乌冲突重塑全球逻辑：能源与粮食安全高于一切,medium,85.9,1326,1064,0.802,100%,86%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
323,俄乌冲突背后的能源账：旧能源复兴与新能源节奏,medium,98.2,1270,1039,0.818,100%,94%,100%,100%,0%,良好,
324,俄乌冲突下的能源武器化与全球供应链风险,medium,91.1,1679,1127,0.671,100%,87%,67%,100%,0%,良好,
325,俄乌冲突下全球能源供应链的逼仓风险与制裁困境,medium,87.4,1493,1046,0.701,93%,82%,67%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
326,俄乌冲突推演：从市场逼仓到全球大萧条的路径,medium,81.3,1455,1150,0.79,95%,94%,0%,100%,0%,基本合格,数字/年份保留率低（丢：2029年）
327,碳权本质是生存发展权的定价与技术壁垒,medium,97.1,1223,923,0.755,100%,90%,100%,100%,0%,良好,
328,碳技术关税与货币化构建新国际贸易金融体系,medium,96.5,899,844,0.939,100%,88%,100%,100%,0%,良好,
329,中国碳战略：从被动应对到主动引领的明牌博弈,medium,84.6,1007,1007,1.0,96%,78%,50%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
330,碳关税背后的经济账：历史排放、发展权与政治博弈,medium,94.7,1112,1021,0.918,100%,82%,100%,100%,0%,良好,
331,能源转型瓶颈与新旧能源转换的现实困境,medium,95.9,1189,902,0.759,100%,86%,100%,100%,0%,良好,
332,能源转型的脆弱性与安全优先策略,medium,91.7,936,871,0.931,91%,83%,100%,100%,0%,良好,
333,碳排放权的本质是发展权：从UGG产业链转移看环保成本,medium,92.7,909,994,1.094,100%,76%,100%,100%,0%,良好,
334,碳排放权的本质是发展权：以河南羊皮加工为例,medium,91.3,1182,1096,0.927,100%,71%,100%,100%,0%,良好,
335,碳排放权的本质是生存与发展的权利,medium,98.1,757,921,1.217,100%,94%,100%,100%,0%,良好,
336,碳排放权的本质是发展权：西方也曾经历高污染阶段,medium,93.5,1459,1064,0.729,100%,78%,100%,100%,0%,良好,
